7	20174278	20257013	7A5
19	58858171	58864865	A1BG
10	52566324	52645435	A1CF
8	43147584	43218328	A26A1
15	21040700	21071977	A26B1
21	14982497	15013906	A26B3
2	131975923	132022416	A26C1A
2	130831107	130878140	A26C1B
14	19553364	19584942	A26C2
22	16256331	16287937	A26C3
16	6069131	7762499	A2BP1
12	9220303	9268558	A2M
12	8975149	9029377	A2ML1
1	33772366	33786699	A3GALT2
22	43088126	43116876	A4GALT
3	137842559	137851229	A4GNT
12	53701239	53715412	AAAS
12	125549924	125627871	AACS
3	151531860	151546276	AADAC
3	172348434	172429006	AADACL1
3	151451714	151475552	AADACL2
1	12776117	12788726	AADACL3
1	12704565	12727097	AADACL4
4	170981372	171011372	AADAT
2	69685126	69870977	AAK1
2	219128851	219134893	AAMP
17	74463650	74466199	AANAT
16	70286296	70323412	AARS
6	44266462	44281063	AARS2
17	41102542	41132020	AARSD1
4	57204456	57253638	AASDH
11	105948291	105969419	AASDHPPT
7	121716186	121773876	AASS
17	35306174	35414171	AATF
17	79091095	79139872	AATK
16	8768443	8878432	ABAT
16	70695106	70719954	ABBA-1
9	107543283	107690436	ABCA1
17	67144147	67240956	ABCA10
2	215796265	216003151	ABCA12
7	48237833	48687091	ABCA13
9	139901685	139923374	ABCA2
16	2325878	2390747	ABCA3
1	94458393	94586705	ABCA4
17	67242790	67323290	ABCA5
17	67074846	67138015	ABCA6
19	1040101	1065570	ABCA7
17	66863430	66951533	ABCA8
17	66970772	67057136	ABCA9
7	87132947	87342564	ABCB1
1	229652328	229694442	ABCB10
2	169779448	169887833	ABCB11
7	87031360	87105019	ABCB4
7	20687215	20795296	ABCB5
2	220074493	220083672	ABCB6
X	74273104	74376132	ABCB7
7	150725509	150744869	ABCB8
12	123413538	123459752	ABCB9
16	16043433	16236930	ABCC1
6	43399488	43418163	ABCC10
16	48200821	48269088	ABCC11
16	48116883	48180681	ABCC12
10	101542462	101611662	ABCC2
17	48712227	48769063	ABCC3
13	95672082	95953687	ABCC4
3	183637723	183735727	ABCC5
16	16243421	16317328	ABCC6
11	17414431	17498449	ABCC8
12	21950323	22089628	ABCC9
X	152990335	153010180	ABCD1
12	39945021	40013843	ABCD2
1	94883932	94984219	ABCD3
14	74751979	74769759	ABCD4
4	146019155	146050676	ABCE1
6	30539169	30559309	ABCF1
7	150904922	150924317	ABCF2
3	183903862	183911795	ABCF3
21	43619798	43717354	ABCG1
4	89011415	89080011	ABCG2
11	119019749	119033374	ABCG4
2	44039610	44065958	ABCG5
2	44066102	44105605	ABCG8
2	27346656	27353680	ABHD1
3	111697827	111712210	ABHD10
7	73150426	73153184	ABHD11
20	25275378	25371477	ABHD12
14	51338877	51371688	ABHD12B
13	108870762	108886603	ABHD13
3	52009083	52015212	ABHD14A
3	52002530	52008030	ABHD14B
15	89631424	89745587	ABHD2
18	19230857	19284726	ABHD3
14	23067146	23081265	ABHD4
3	43732374	43760292	ABHD5
3	58223258	58280461	ABHD6
1	92495557	92529093	ABHD7
19	17402939	17414282	ABHD8
19	15337729	15343231	ABHD9
10	27035524	27149959	ABI1
2	204193002	204296892	ABI2
17	47287588	47300587	ABI3
3	100468178	100712314	ABI3BP
9	133589267	133763062	ABL1
1	179068461	179198767	ABL2
10	116190868	116444414	ABLIM1
4	7967036	8160559	ABLIM2
5	148521053	148639999	ABLIM3
9	136130562	136150630	ABO
7	150549572	150558379	ABP1
17	906758	1083131	ABR
8	107771710	107782472	ABRA
6	26597179	26600277	ABT1
3	127391780	127399763	ABTB1
11	34172534	34378802	ABTB2
3	38164206	38178615	ACAA1
18	47309873	47340251	ACAA2
17	35441926	35766902	ACACA
12	109577201	109706030	ACACB
12	112123901	112194901	ACAD10
3	132276981	132378975	ACAD11
11	134123433	134135746	ACAD8
3	128598332	128631957	ACAD9
2	211052715	211090215	ACADL
1	76190042	76229355	ACADM
12	121163570	121177811	ACADS
10	124768428	124817806	ACADSB
17	7123152	7128585	ACADVL
15	89346673	89418585	ACAN
11	107992257	108018275	ACAT1
6	160182988	160200087	ACAT2
1	226332379	226374423	ACBD3
17	43213053	43221541	ACBD4
10	27484142	27531059	ACBD5
1	180257364	180471479	ACBD6
10	15117473	15130775	ACBD7
17	31340105	32483825	ACCN1
12	50451486	50477394	ACCN2
7	150745604	150749843	ACCN3
2	220379051	220403494	ACCN4
4	156750880	156787425	ACCN5
11	44087728	44105569	ACCS
16	67691414	67694718	ACD
17	61554433	61574979	ACE
X	15579155	15620192	ACE2
7	100487614	100493541	ACHE
14	23527773	23564823	ACIN1
17	40023178	40075272	ACLY
2	135596185	135659602	ACMSD
7	96745904	96811075	ACN9
9	32384600	32450832	ACO1
22	41865128	41924993	ACO2
14	74003927	74010498	ACOT1
1	55013900	55100417	ACOT11
5	80625946	80689988	ACOT12
14	74035771	74042359	ACOT2
